CostCenter,Account,cost,BPA
Sales-01,100000,24513.39,sales.csv
Sales-01,100001,6373.48,sales.csv
Sales-01,200000,34200.09,sales.csv
Sales-01,400000,980.56,sales.csv
Sales-01,400001,627.67,sales.csv
Sales-01,500000,24967.36,sales.csv
Sales-01,600000,27856.25,sales.csv
Sales-01,600001,40625.14,sales.csv
Sales-01,600002,14575.01,sales.csv
Sales-01,700000,5056.55,ITDemand.csv
Sales-01,700001,2849.79,ITDemand.csv
Sales-01,700002,1520.27,ITDemand.csv
Sales-01,700003,8021.03,ITDemand.csv
Sales-01,800000,8905.99,phones.csv
Sales-01,800001,5003.49,phones.csv
Sales-01,800002,3514.21,phones.csv
Sales-02,100000,11511.03,sales.csv
Sales-02,100001,2992.87,sales.csv
Sales-02,200000,92679.17,sales.csv
Sales-02,400000,309.25,sales.csv
Sales-02,400001,689.88,sales.csv
Sales-02,500000,10521.86,sales.csv
Sales-02,600000,2697.82,sales.csv
Sales-02,600001,15493.35,sales.csv
Sales-02,600002,30643.35,sales.csv
Sales-02,700000,8063.62,sales.csv
Sales-02,700001,6822.53,sales.csv
Sales-02,700002,1844.42,sales.csv
Sales-02,700003,8579.75,sales.csv
Sales-02,800000,2877.44,sales.csv
Sales-02,800001,9251.65,sales.csv
Sales-02,800002,6699.3,sales.csv
Sales-03,100000,89364.4,sales.csv
Sales-03,100001,23234.74,sales.csv
Sales-03,200000,73933.51,sales.csv
Sales-03,400000,767.11,sales.csv
Sales-03,400001,519.46,sales.csv
Sales-03,500000,25524.33,sales.csv
Sales-03,600000,1968.75,sales.csv
Sales-03,600001,22456.87,sales.csv
Sales-03,600002,38881.24,sales.csv
Sales-03,700000,6441.41,sales.csv
Sales-03,700001,9500.52,sales.csv
Sales-03,700002,3139.77,sales.csv
Sales-03,700003,1007.56,sales.csv
Sales-03,800000,6881.19,sales.csv
Sales-03,800001,464.34,sales.csv
Sales-03,800002,3753.58,sales.csv
Sales-04,100000,49553.9,sales.csv
Sales-04,100001,12884.01,sales.csv
Sales-04,200000,26633.31,sales.csv
Sales-04,400000,651.79,sales.csv
Sales-04,400001,910.93,sales.csv
Sales-04,500000,16905.68,sales.csv
Sales-04,600000,26820.82,sales.csv
Sales-04,600001,13558.68,sales.csv
Sales-04,600002,28137.73,sales.csv
Sales-04,700000,9908.93,ITDemand.csv
Sales-04,700001,2399.52,ITDemand.csv
Sales-04,700002,1942.54,ITDemand.csv
Sales-04,700003,2105.35,ITDemand.csv
Sales-04,800000,958.85,phones.csv
Sales-04,800001,1665.89,phones.csv
Sales-04,800002,9455.95,phones.csv
Sales-05,100000,26660.98,sales.csv
Sales-05,100001,6931.85,sales.csv
Sales-05,200000,71187.79,sales.csv
Sales-05,400000,84.26,sales.csv
Sales-05,400001,516.86,sales.csv
Sales-05,500000,3607.79,sales.csv
Sales-05,600000,20100.63,sales.csv
Sales-05,600001,29670.83,sales.csv
Sales-05,600002,23211.49,sales.csv
Sales-05,700000,506.02,ITDemand.csv
Sales-05,700001,4750.97,ITDemand.csv
Sales-05,700002,1522.83,ITDemand.csv
Sales-05,700003,6908,ITDemand.csv
