Month,Legal_Entity,Legal_Entity_Name,Function,CostCenter,CostCenter_Name,Account,Account_Name,Amount
1,EUR,Europe,Sales,Sales-01,Sales-Direct,100000,Salary,24513.39
1,EUR,Europe,Sales,Sales-01,Sales-Direct,100001,Benefits,6373.48
1,EUR,Europe,Sales,Sales-01,Sales-Direct,200000,Contractors,34200.09
1,EUR,Europe,Sales,Sales-01,Sales-Direct,400000,Travel-Trips,980.56
1,EUR,Europe,Sales,Sales-01,Sales-Direct,400001,Travel-Hotels,627.67
1,EUR,Europe,Sales,Sales-01,Sales-Direct,500000,Professional-Services-Consultants,24967.36
1,EUR,Europe,Sales,Sales-01,Sales-Direct,600000,Legal-Consultants,27856.25
1,EUR,Europe,Sales,Sales-01,Sales-Direct,600001,Legal-Corporate Fees,40625.14
1,EUR,Europe,Sales,Sales-01,Sales-Direct,600002,Legal-Employment Fees,14575.01
1,EUR,Europe,Sales,Sales-01,Sales-Direct,700000,IT-Application-On-Premise,5056.55
1,EUR,Europe,Sales,Sales-01,Sales-Direct,700001,IT-Application-Subscription,2849.79
1,EUR,Europe,Sales,Sales-01,Sales-Direct,700002,IT-Infrastructure,1520.27
1,EUR,Europe,Sales,Sales-01,Sales-Direct,700003,IT-Consultant-System Implementation,8021.03
1,EUR,Europe,Sales,Sales-01,Sales-Direct,800000,Facilities-Offices,8905.99
1,EUR,Europe,Sales,Sales-01,Sales-Direct,800001,Facilities-Supplies,5003.49
1,EUR,Europe,Sales,Sales-01,Sales-Direct,800002,Facilities-Supplies,3514.21
1,EUR,Europe,Sales,Sales-02,Sales-Partners,100000,Salary,11511.03
1,EUR,Europe,Sales,Sales-02,Sales-Partners,100001,Benefits,2992.87
1,EUR,Europe,Sales,Sales-02,Sales-Partners,200000,Contractors,92679.17
1,EUR,Europe,Sales,Sales-02,Sales-Partners,400000,Travel-Trips,309.25
1,EUR,Europe,Sales,Sales-02,Sales-Partners,400001,Travel-Hotels,689.88
1,EUR,Europe,Sales,Sales-02,Sales-Partners,500000,Professional-Services-Consultants,10521.86
1,EUR,Europe,Sales,Sales-02,Sales-Partners,600000,Legal-Consultants,2697.82
1,EUR,Europe,Sales,Sales-02,Sales-Partners,600001,Legal-Corporate Fees,15493.35
1,EUR,Europe,Sales,Sales-02,Sales-Partners,600002,Legal-Employment Fees,30643.35
1,EUR,Europe,Sales,Sales-02,Sales-Partners,700000,IT-Application-On-Premise,8063.62
1,EUR,Europe,Sales,Sales-02,Sales-Partners,700001,IT-Application-Subscription,6822.53
1,EUR,Europe,Sales,Sales-02,Sales-Partners,700002,IT-Infrastructure,1844.42
1,EUR,Europe,Sales,Sales-02,Sales-Partners,700003,IT-Consultant-System Implementation,8579.75
1,EUR,Europe,Sales,Sales-02,Sales-Partners,800000,Facilities-Offices,2877.44
1,EUR,Europe,Sales,Sales-02,Sales-Partners,800001,Facilities-Supplies,9251.65
1,EUR,Europe,Sales,Sales-02,Sales-Partners,800002,Facilities-Supplies,6699.3
1,EUR,Europe,Sales,Sales-03,Sales-Online,100000,Salary,89364.4
1,EUR,Europe,Sales,Sales-03,Sales-Online,100001,Benefits,23234.74
1,EUR,Europe,Sales,Sales-03,Sales-Online,200000,Contractors,73933.51
1,EUR,Europe,Sales,Sales-03,Sales-Online,400000,Travel-Trips,767.11
1,EUR,Europe,Sales,Sales-03,Sales-Online,400001,Travel-Hotels,519.46
1,EUR,Europe,Sales,Sales-03,Sales-Online,500000,Professional-Services-Consultants,25524.33
1,EUR,Europe,Sales,Sales-03,Sales-Online,600000,Legal-Consultants,1968.75
1,EUR,Europe,Sales,Sales-03,Sales-Online,600001,Legal-Corporate Fees,22456.87
1,EUR,Europe,Sales,Sales-03,Sales-Online,600002,Legal-Employment Fees,38881.24
1,EUR,Europe,Sales,Sales-03,Sales-Online,700000,IT-Application-On-Premise,6441.41
1,EUR,Europe,Sales,Sales-03,Sales-Online,700001,IT-Application-Subscription,9500.52
1,EUR,Europe,Sales,Sales-03,Sales-Online,700002,IT-Infrastructure,3139.77
1,EUR,Europe,Sales,Sales-03,Sales-Online,700003,IT-Consultant-System Implementation,1007.56
1,EUR,Europe,Sales,Sales-03,Sales-Online,800000,Facilities-Offices,6881.19
1,EUR,Europe,Sales,Sales-03,Sales-Online,800001,Facilities-Supplies,464.34
1,EUR,Europe,Sales,Sales-03,Sales-Online,800002,Facilities-Supplies,3753.58
1,EUR,Europe,Sales,Sales-04,Sales-Ops,100000,Salary,49553.9
1,EUR,Europe,Sales,Sales-04,Sales-Ops,100001,Benefits,12884.01
1,EUR,Europe,Sales,Sales-04,Sales-Ops,200000,Contractors,26633.31
1,EUR,Europe,Sales,Sales-04,Sales-Ops,400000,Travel-Trips,651.79
1,EUR,Europe,Sales,Sales-04,Sales-Ops,400001,Travel-Hotels,910.93
1,EUR,Europe,Sales,Sales-04,Sales-Ops,500000,Professional-Services-Consultants,16905.68
1,EUR,Europe,Sales,Sales-04,Sales-Ops,600000,Legal-Consultants,26820.82
1,EUR,Europe,Sales,Sales-04,Sales-Ops,600001,Legal-Corporate Fees,13558.68
1,EUR,Europe,Sales,Sales-04,Sales-Ops,600002,Legal-Employment Fees,28137.73
1,EUR,Europe,Sales,Sales-04,Sales-Ops,700000,IT-Application-On-Premise,9908.93
1,EUR,Europe,Sales,Sales-04,Sales-Ops,700001,IT-Application-Subscription,2399.52
1,EUR,Europe,Sales,Sales-04,Sales-Ops,700002,IT-Infrastructure,1942.54
1,EUR,Europe,Sales,Sales-04,Sales-Ops,700003,IT-Consultant-System Implementation,2105.35
1,EUR,Europe,Sales,Sales-04,Sales-Ops,800000,Facilities-Offices,958.85
1,EUR,Europe,Sales,Sales-04,Sales-Ops,800001,Facilities-Supplies,1665.89
1,EUR,Europe,Sales,Sales-04,Sales-Ops,800002,Facilities-Supplies,9455.95
1,EUR,Europe,Sales,Sales-05,Sales-Exec,100000,Salary,26660.98
1,EUR,Europe,Sales,Sales-05,Sales-Exec,100001,Benefits,6931.85
1,EUR,Europe,Sales,Sales-05,Sales-Exec,200000,Contractors,71187.79
1,EUR,Europe,Sales,Sales-05,Sales-Exec,400000,Travel-Trips,84.26
1,EUR,Europe,Sales,Sales-05,Sales-Exec,400001,Travel-Hotels,516.86
1,EUR,Europe,Sales,Sales-05,Sales-Exec,500000,Professional-Services-Consultants,3607.79
1,EUR,Europe,Sales,Sales-05,Sales-Exec,600000,Legal-Consultants,20100.63
1,EUR,Europe,Sales,Sales-05,Sales-Exec,600001,Legal-Corporate Fees,29670.83
1,EUR,Europe,Sales,Sales-05,Sales-Exec,600002,Legal-Employment Fees,23211.49
1,EUR,Europe,Sales,Sales-05,Sales-Exec,700000,IT-Application-On-Premise,506.02
1,EUR,Europe,Sales,Sales-05,Sales-Exec,700001,IT-Application-Subscription,4750.97
1,EUR,Europe,Sales,Sales-05,Sales-Exec,700002,IT-Infrastructure,1522.83
1,EUR,Europe,Sales,Sales-05,Sales-Exec,700003,IT-Consultant-System Implementation,6908
1,EUR,Europe,Sales,Sales-05,Sales-Exec,800000,Facilities-Offices,6095.73
1,EUR,Europe,Sales,Sales-05,Sales-Exec,800001,Facilities-Supplies,6012.85
1,EUR,Europe,Sales,Sales-05,Sales-Exec,800002,Facilities-Supplies,3535.07
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,100000,Salary,66887.37
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,100001,Benefits,17390.72
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,200000,Contractors,49055.81
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,400000,Travel-Trips,845.77
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,400001,Travel-Hotels,461.83
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,500000,Professional-Services-Consultants,11253.06
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,600000,Legal-Consultants,7440.4
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,600001,Legal-Corporate Fees,33092.83
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,600002,Legal-Employment Fees,13690.66
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,700000,IT-Application-On-Premise,3916.33
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,700001,IT-Application-Subscription,413.72
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,700002,IT-Infrastructure,9456.19
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,700003,IT-Consultant-System Implementation,5175.16
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,800000,Facilities-Offices,9448.98
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,800001,Facilities-Supplies,6620.53
1,EUR,Europe,Marketing,Marketing-01,Marketing-Events,800002,Facilities-Supplies,3736.34
1,EUR,Europe,Marketing,Marketing-02,Marketing-Research,100000,Salary,79037.68
1,EUR,Europe,Marketing,Marketing-02,Marketing-Research,100001,Benefits,20549.8
1,EUR,Europe,Marketing,Marketing-02,Marketing-Research,200000,Contractors,85016.9
1,EUR,Europe,Marketing,Marketing-02,Marketing-Research,400000,Travel-Trips,517.05
1,EUR,Europe,Marketing,Marketing-02,Marketing-Research,400001,Travel-Hotels,949.02
1,EUR,Europe,Marketing,Marketing-02,Marketing-Research,500000,Professional-Services-Consultants,40520.32
1,EUR,Europe,Marketing,Marketing-02,Marketing-Research,600000,Legal-Consultants,3870
1,EUR,Europe,Marketing,Marketing-02,Marketing-Research,600001,Legal-Corporate Fees,14260.03
1,EUR,Europe,Marketing,Marketing-02,Marketing-Research,600002,Legal-Employment Fees,5072.35
