month,day,country,calls,duration,client,total_phonetime
1,1,CHI,9,40.8,AirChina,367.2
1,2,CHI,16,41.9,AirChina,670.4
1,3,CHI,9,6.5,AirChina,58.5
1,4,CHI,5,12.4,AirChina,62
1,5,CHI,2,37.4,AirChina,74.8
1,6,CHI,8,1.9,AirChina,15.2
1,9,CHI,12,14.4,AirChina,172.8
1,10,CHI,22,44.6,AirChina,981.2
1,11,CHI,8,39.5,AirChina,316
1,12,CHI,14,43.9,AirChina,614.6
1,13,CHI,7,17.2,AirChina,120.4
1,14,CHI,19,8.7,AirChina,165.3
1,15,CHI,10,33.6,AirChina,336
1,16,CHI,18,1.4,AirChina,25.2
1,17,CHI,2,21.7,AirChina,43.4
1,18,CHI,6,28.4,AirChina,170.4
1,19,CHI,20,14.9,AirChina,298
1,20,CHI,5,2.3,AirChina,11.5
1,1,FRA,19,44.4,AirFrance,843.6
1,2,FRA,4,30.6,AirFrance,122.4
1,3,FRA,9,5.7,AirFrance,51.3
1,4,FRA,4,33,AirFrance,132
1,5,FRA,23,39.6,AirFrance,910.8
1,6,FRA,8,41.6,AirFrance,332.8
1,7,FRA,16,15.2,AirFrance,243.2
1,8,FRA,0,12.4,AirFrance,0
1,9,FRA,2,18.7,AirFrance,37.4
1,10,FRA,20,24.4,AirFrance,488
1,11,FRA,12,20.8,AirFrance,249.6
1,12,FRA,12,17.8,AirFrance,213.6
1,13,FRA,11,1.8,AirFrance,19.8
1,14,FRA,25,10.8,AirFrance,270
1,15,FRA,17,12.4,AirFrance,210.8
1,17,FRA,13,26.6,AirFrance,345.8
1,18,FRA,2,27.3,AirFrance,54.6
1,19,FRA,22,17.5,AirFrance,385
1,20,FRA,23,22.4,AirFrance,515.2
1,21,FRA,2,12.8,AirFrance,25.6
1,1,JPO,15,35.2,AirJapan,528
1,2,JPO,21,18.3,AirJapan,384.3
1,3,JPO,21,39.2,AirJapan,823.2
1,4,JPO,11,22,AirJapan,242
1,5,JPO,19,5.3,AirJapan,100.7
1,6,JPO,4,11.8,AirJapan,47.2
1,7,JPO,10,27.4,AirJapan,274
1,8,JPO,18,31.4,AirJapan,565.2
1,9,JPO,11,25.4,AirJapan,279.4
1,10,JPO,6,19.5,AirJapan,117
1,11,JPO,5,34.7,AirJapan,173.5
1,12,JPO,6,37.4,AirJapan,224.4
1,13,JPO,7,32.1,AirJapan,224.7
1,14,JPO,18,22.5,AirJapan,405
1,15,JPO,5,4.7,AirJapan,23.5
1,16,JPO,9,42.6,AirJapan,383.4
1,17,JPO,23,3.2,AirJapan,73.6
1,18,JPO,3,34.7,AirJapan,104.1
1,19,JPO,3,26.6,AirJapan,79.8
1,20,JPO,7,28.9,AirJapan,202.3
1,1,MEX,3,3.9,AirMexico,11.7
1,2,MEX,10,19.7,AirMexico,197
1,3,MEX,5,31.8,AirMexico,159
1,4,MEX,8,42.9,AirMexico,343.2
1,5,MEX,7,30.7,AirMexico,214.9
1,6,MEX,1,19.6,AirMexico,19.6
1,7,MEX,6,38.8,AirMexico,232.8
1,8,MEX,4,44.6,AirMexico,178.4
1,9,MEX,8,10.2,AirMexico,81.6
1,10,MEX,5,19.6,AirMexico,98
1,11,MEX,6,27.3,AirMexico,163.8
1,12,MEX,2,30.5,AirMexico,61
1,13,MEX,3,16.5,AirMexico,49.5
1,14,MEX,2,40.3,AirMexico,80.6
1,15,MEX,2,18.8,AirMexico,37.6
1,18,MEX,9,33.2,AirMexico,298.8
1,19,MEX,2,28.9,AirMexico,57.8
1,20,MEX,3,1.6,AirMexico,4.8
1,21,MEX,6,31,AirMexico,186
1,1,ITA,20,36.9,Alitalia,738
1,2,ITA,1,39.9,Alitalia,39.9
1,3,ITA,23,8.9,Alitalia,204.7
1,4,ITA,7,40.2,Alitalia,281.4
1,5,ITA,3,32.6,Alitalia,97.8
1,6,ITA,7,40.9,Alitalia,286.3
1,7,ITA,19,32.1,Alitalia,609.9
1,8,ITA,21,7.2,Alitalia,151.2
1,9,ITA,5,34.9,Alitalia,174.5
1,10,ITA,22,9.5,Alitalia,209
1,11,ITA,18,0.8,Alitalia,14.4
1,12,ITA,15,37.5,Alitalia,562.5
1,13,ITA,19,5.6,Alitalia,106.4
1,14,ITA,24,22.8,Alitalia,547.2
1,15,ITA,18,14.1,Alitalia,253.8
1,16,ITA,27,14.2,Alitalia,383.4
