BPA,CostCenter,Account,cost
implementation,Product-Mgmt-01,100000,1.389229349218079E7
implementation,Product-Mgmt-01,100001,3616801.5036918116
implementation,Product-Mgmt-01,200000,1.60222705740107E7
implementation,Product-Mgmt-01,400000,55513.99679182601
implementation,Product-Mgmt-01,400001,59954.934269582
implementation,Product-Mgmt-01,500000,5506804.550520164
implementation,Product-Mgmt-01,600000,3021161.0459225536
implementation,Product-Mgmt-01,600001,2830985.2549143373
implementation,Product-Mgmt-01,600002,5863918.044219621
implementation,Product-Mgmt-01,800000,1055636.124147561
implementation,Product-Mgmt-01,800001,1288871.056170929
implementation,Product-Mgmt-01,800002,1156489.4837813952
implementation,PS-01,100000,1.3293706356829721E7
implementation,PS-01,100001,3457132.176907668
implementation,PS-01,200000,1.5117374213612039E7
implementation,PS-01,400000,126421.03787062403
implementation,PS-01,400001,162302.59847991294
implementation,PS-01,500000,6287968.370719699
implementation,PS-01,600000,5843753.241608017
implementation,PS-01,600001,5621836.444122592
implementation,PS-01,600002,5828578.716167589
implementation,PS-01,700000,1371060.30520653
implementation,PS-01,700001,1186610.39048444
implementation,PS-01,700002,1039037.3171944491
implementation,PS-01,700003,1737377.9998898436
implementation,PS-01,800000,1192812.388170014
implementation,PS-01,800001,1426030.330852847
implementation,PS-01,800002,1837625.0240353502
implementation,R&D-01,100000,5635551.1686524
implementation,R&D-01,100001,1465447.5311162819
implementation,R&D-01,200000,1.1435367572603354E7
implementation,R&D-01,400000,66912.15125132399
implementation,R&D-01,400001,46621.596706675
implementation,R&D-01,500000,3926448.4052201947
implementation,R&D-01,600000,4411868.902900824
implementation,R&D-01,600001,4860155.104431672
implementation,R&D-01,600002,5550764.174358194
implementation,R&D-01,800000,737725.0722324229
implementation,R&D-01,800001,1290354.1262201297
implementation,R&D-01,800002,1166696.906517023
implementation,R&D-02,100000,5741832.85471401
implementation,R&D-02,100001,1493642.6189202513
implementation,R&D-02,200000,1.007790004489281E7
implementation,R&D-02,400000,82668.98071561597
implementation,R&D-02,400001,113835.593290064
implementation,R&D-02,500000,3740083.555695802
implementation,R&D-02,600000,3468581.186921601
implementation,R&D-02,600001,2028411.3825907125
implementation,R&D-02,600002,4536608.180724738
implementation,R&D-02,800000,1889621.690671625
implementation,R&D-02,800001,919347.1317453991
implementation,R&D-02,800002,401332.3997140981
implementation,R&D-03,100000,7302391.556523347
implementation,R&D-03,100001,1899560.4889388129
implementation,R&D-03,200000,1.4109675484250791E7
implementation,R&D-03,400000,156429.41110592
implementation,R&D-03,400001,100793.64492421599
implementation,R&D-03,500000,5688529.312934474
implementation,R&D-03,600000,6087082.552358321
implementation,R&D-03,600001,6176961.451957038
implementation,R&D-03,600002,6977997.352698723
implementation,R&D-03,800000,1693241.888643076
implementation,R&D-03,800001,793009.387760178
implementation,R&D-03,800002,1320905.3120369879
phones,Sales-01,800000,509402.81174187304
phones,Sales-01,800001,1183667.1815904807
phones,Sales-01,800002,334984.39512078994
phones,Sales-04,800000,1105556.7322342726
phones,Sales-04,800001,649471.6798180197
phones,Sales-04,800002,556358.5615600691
ITDemand,ACC-01,700000,776607.3348615129
ITDemand,ACC-01,700001,1380564.824121354
ITDemand,ACC-01,700002,495300.222189722
ITDemand,ACC-01,700003,1463010.5844932396
ITDemand,FIN-01,700000,780740.5232947969
ITDemand,FIN-01,700001,1216983.1112951871
ITDemand,FIN-01,700002,499022.1040689681
ITDemand,FIN-01,700003,1604706.3363568503
ITDemand,IT-01,100000,1.243108577990957E7
ITDemand,IT-01,100001,3232533.2233708487
ITDemand,IT-01,200000,8107036.002007027
ITDemand,IT-01,400000,66589.346520271
ITDemand,IT-01,400001,137280.050261654
ITDemand,IT-01,500000,5964473.736540498
ITDemand,IT-01,600000,6756459.556896113
ITDemand,IT-01,600001,5285286.16138796
ITDemand,IT-01,600002,7256605.77739636
ITDemand,IT-01,700000,2061814.501585291
ITDemand,IT-01,700001,1309878.0498772222
ITDemand,IT-01,700002,1405598.8313715563
ITDemand,IT-01,700003,2106806.3162388033
ITDemand,IT-01,800000,1262866.6412116308
ITDemand,IT-01,800001,1558536.750872683
ITDemand,IT-01,800002,1464549.2880940344
ITDemand,LEG-01,700000,1435920.7028413096
ITDemand,LEG-01,700001,901704.9695028157
ITDemand,LEG-01,700002,907756.2361083031
ITDemand,LEG-01,700003,1121698.8780956238
ITDemand,Marketing-01,700000,291561.40385761095
ITDemand,Marketing-01,700001,567031.1634890039
ITDemand,Marketing-01,700002,995360.3402658212
ITDemand,Marketing-01,700003,1100589.8292402069
ITDemand,Marketing-02,700000,863439.8665338149
ITDemand,Marketing-02,700001,1286792.0688316582
ITDemand,Marketing-02,700002,1229196.020530062
ITDemand,Marketing-02,700003,764866.980651257
ITDemand,Marketing-03,700000,999173.3609219108
ITDemand,Marketing-03,700001,1126501.202672987
ITDemand,Marketing-03,700002,745025.594369567
ITDemand,Marketing-03,700003,667621.41353397
ITDemand,Product-Mgmt-01,700000,1322559.427523226
ITDemand,Product-Mgmt-01,700001,992478.0352646451
ITDemand,Product-Mgmt-01,700002,789363.3432440208
ITDemand,Product-Mgmt-01,700003,780004.8726964282
ITDemand,R&D-01,700000,442631.98104702594
ITDemand,R&D-01,700001,1371024.8761778031
ITDemand,R&D-01,700002,414198.9108918101
ITDemand,R&D-01,700003,404993.3799023259
ITDemand,R&D-02,700000,1213249.8301467048
ITDemand,R&D-02,700001,1403380.768804428
ITDemand,R&D-02,700002,966663.3065253758
ITDemand,R&D-02,700003,1402713.0375681673
ITDemand,R&D-03,700000,1735175.417066072
ITDemand,R&D-03,700001,1196048.7983952072
ITDemand,R&D-03,700002,1275514.5450490168
ITDemand,R&D-03,700003,894326.1454237764
ITDemand,R&D-04,700000,516123.51207650005
ITDemand,R&D-04,700001,978451.24608622
ITDemand,R&D-04,700002,1377149.4858559943
ITDemand,R&D-04,700003,1008444.2556409038
ITDemand,Sales-01,700000,1238488.755185072
ITDemand,Sales-01,700001,659636.452606807
ITDemand,Sales-01,700002,1015731.9237857689
ITDemand,Sales-01,700003,880447.369453434
ITDemand,Sales-04,700000,1141654.8292210628
ITDemand,Sales-04,700001,870586.8267030669
ITDemand,Sales-04,700002,1404392.7517950041
ITDemand,Sales-04,700003,854651.4733913152
ITDemand,Sales-05,700000,826871.4875620861
ITDemand,Sales-05,700001,219426.92616035303
