client,BPA,cost
AirMexico,ITDemand,2653410.8444007514
AirMexico,implementation,2.207038570032208E7
AirMexico,payroll,8204057.475980728
AirMexico,phones,186237.05049028585
AirMexico,sales,4.557996067119872E7
Alitalia,ITDemand,247315.229735029
Alitalia,implementation,2.04749361317826E7
Alitalia,payroll,8564106.550045902
Alitalia,phones,378024.884188514
Alitalia,sales,5.462639015296486E7
American,ITDemand,370972.84460254345
American,implementation,1.8347670040083397E7
American,payroll,7120459.306774582
American,phones,887756.7669020231
American,sales,1.594057519440778E7
SwissAir,ITDemand,4.219816107353932E7
SwissAir,implementation,1.8081761778764553E7
SwissAir,payroll,5236240.8346416345
SwissAir,phones,439662.6463480385
SwissAir,sales,3.9913257396206275E7
AirChina,ITDemand,2653410.8444007514
AirChina,implementation,2.845218397489763E7
AirChina,payroll,2972417.907656889
AirChina,phones,338680.51153727795
AirChina,sales,5.698156990244604E7
EmiratesAirlines,ITDemand,61828.80743375725
EmiratesAirlines,implementation,2.632491788309402E7
EmiratesAirlines,payroll,337042.74263096094
EmiratesAirlines,phones,421679.011288931
EmiratesAirlines,sales,5.569604624768438E7
AirFrance,ITDemand,5306821.688698455
AirFrance,implementation,2.419765179212569E7
AirFrance,payroll,3937533.4746159003
AirFrance,phones,410028.38363574276
AirFrance,sales,6.4074489127594724E7
TACA,ITDemand,2.109908053676966E7
TACA,implementation,2.2336293962361347E7
TACA,payroll,5433520.1182959825
TACA,phones,70407.69878312857
TACA,sales,4.638341620318171E7
VirginAtlantic,ITDemand,4.219816107353932E7
VirginAtlantic,implementation,1.8879486563034296E7
VirginAtlantic,payroll,5006177.52873416
VirginAtlantic,phones,409855.39174543234
VirginAtlantic,sales,1.966924225171211E8
BA,ITDemand,123657.6148675145
BA,implementation,2.2070385700635314E7
BA,payroll,6913402.332146554
BA,phones,401837.5937740234
BA,sales,3.288293032079768E7
AirJapan,ITDemand,2653410.8444007514
AirJapan,implementation,2.6059009622610476E7
AirJapan,payroll,1.3475958121857557E7
AirJapan,phones,395271.4233721081
AirJapan,sales,4.155177719228371E7
