BPA,CostCenter,Account,cost
implementation,Product-Mgmt-01,100000,429156.89999999997
implementation,Product-Mgmt-01,100001,111580.79999999999
implementation,Product-Mgmt-01,200000,431151.68
implementation,Product-Mgmt-01,400000,3073.08
implementation,Product-Mgmt-01,400001,2506.71
implementation,Product-Mgmt-01,500000,165759.94000000003
implementation,Product-Mgmt-01,600000,150722.23
implementation,Product-Mgmt-01,600001,161410.84999999998
implementation,Product-Mgmt-01,600002,201191.4
implementation,Product-Mgmt-01,800000,40996.43
implementation,Product-Mgmt-01,800001,38048.95
implementation,Product-Mgmt-01,800002,29416.74
implementation,PS-01,100000,307284.27999999997
implementation,PS-01,100001,79893.91
implementation,PS-01,200000,433915.62999999995
implementation,PS-01,400000,3701.76
implementation,PS-01,400001,3656.3599999999997
implementation,PS-01,500000,177237.51
implementation,PS-01,600000,186236.47
implementation,PS-01,600001,145972.28000000003
implementation,PS-01,600002,147489.19
implementation,PS-01,700000,34848.979999999996
implementation,PS-01,700001,30264.0
implementation,PS-01,700002,28319.129999999997
implementation,PS-01,700003,46608.9
implementation,PS-01,800000,36315.54
implementation,PS-01,800001,33480.649999999994
implementation,PS-01,800002,44199.520000000004
implementation,R&D-01,100000,278957.87
implementation,R&D-01,100001,72529.04
implementation,R&D-01,200000,424445.02
implementation,R&D-01,400000,3564.1099999999997
implementation,R&D-01,400001,2669.61
implementation,R&D-01,500000,133241.95
implementation,R&D-01,600000,154956.58000000002
implementation,R&D-01,600001,194619.47999999998
implementation,R&D-01,600002,160346.50999999998
implementation,R&D-01,800000,21688.82
implementation,R&D-01,800001,35723.0
implementation,R&D-01,800002,46208.29
implementation,R&D-02,100000,339407.82
implementation,R&D-02,100001,88246.03
implementation,R&D-02,200000,367811.24
implementation,R&D-02,400000,3539.21
implementation,R&D-02,400001,3371.4500000000003
implementation,R&D-02,500000,188162.96
implementation,R&D-02,600000,128299.58
implementation,R&D-02,600001,125816.57
implementation,R&D-02,600002,141167.64
implementation,R&D-02,800000,49547.590000000004
implementation,R&D-02,800001,29446.17
implementation,R&D-02,800002,22824.44
implementation,R&D-03,100000,240887.85999999996
implementation,R&D-03,100001,62630.84
implementation,R&D-03,200000,422891.51000000007
implementation,R&D-03,400000,4015.3700000000003
implementation,R&D-03,400001,3129.4399999999996
implementation,R&D-03,500000,152457.33000000002
implementation,R&D-03,600000,173284.43000000002
implementation,R&D-03,600001,150588.75
implementation,R&D-03,600002,162372.49
implementation,R&D-03,800000,42801.75
implementation,R&D-03,800001,21399.55
implementation,R&D-03,800002,33709.47
phones,Sales-01,800000,32250.43
phones,Sales-01,800001,35658.619999999995
phones,Sales-01,800002,25631.86
phones,Sales-04,800000,34071.18
phones,Sales-04,800001,36014.130000000005
phones,Sales-04,800002,29455.03
ITDemand,ACC-01,700000,24944.45
ITDemand,ACC-01,700001,33542.84
ITDemand,ACC-01,700002,32839.170000000006
ITDemand,ACC-01,700003,41369.98
ITDemand,FIN-01,700000,28935.969999999994
ITDemand,FIN-01,700001,33707.06
ITDemand,FIN-01,700002,32158.22
ITDemand,FIN-01,700003,34711.56
ITDemand,IT-01,100000,381005.6
ITDemand,IT-01,100001,99061.44999999998
ITDemand,IT-01,200000,355517.55
ITDemand,IT-01,400000,3176.57
ITDemand,IT-01,400001,3669.54
ITDemand,IT-01,500000,178422.15
ITDemand,IT-01,600000,168773.96999999997
ITDemand,IT-01,600001,185584.03999999998
ITDemand,IT-01,600002,161185.86
ITDemand,IT-01,700000,54120.75
ITDemand,IT-01,700001,39451.76
ITDemand,IT-01,700002,32938.149999999994
ITDemand,IT-01,700003,41802.84
ITDemand,IT-01,800000,34132.329999999994
ITDemand,IT-01,800001,42563.63
ITDemand,IT-01,800002,47919.64
ITDemand,LEG-01,700000,38704.94
ITDemand,LEG-01,700001,33609.560000000005
ITDemand,LEG-01,700002,30248.899999999998
ITDemand,LEG-01,700003,43826.159999999996
ITDemand,Marketing-01,700000,22189.469999999994
ITDemand,Marketing-01,700001,37136.41
ITDemand,Marketing-01,700002,34132.17
ITDemand,Marketing-01,700003,40049.1
ITDemand,Marketing-02,700000,28635.57
ITDemand,Marketing-02,700001,56711.71
ITDemand,Marketing-02,700002,41667.02
ITDemand,Marketing-02,700003,41758.15
ITDemand,Marketing-03,700000,38991.64
ITDemand,Marketing-03,700001,37668.78999999999
ITDemand,Marketing-03,700002,44876.11
ITDemand,Marketing-03,700003,19389.54
ITDemand,Product-Mgmt-01,700000,31141.77
ITDemand,Product-Mgmt-01,700001,38431.46
ITDemand,Product-Mgmt-01,700002,40089.840000000004
ITDemand,Product-Mgmt-01,700003,36730.32
ITDemand,R&D-01,700000,26754.75
ITDemand,R&D-01,700001,48083.649999999994
ITDemand,R&D-01,700002,37050.58
ITDemand,R&D-01,700003,37115.83
ITDemand,R&D-02,700000,29051.829999999998
ITDemand,R&D-02,700001,46529.57000000001
ITDemand,R&D-02,700002,33003.95
ITDemand,R&D-02,700003,43387.69
ITDemand,R&D-03,700000,45808.909999999996
ITDemand,R&D-03,700001,29331.159999999996
ITDemand,R&D-03,700002,38722.11
ITDemand,R&D-03,700003,30476.350000000002
ITDemand,R&D-04,700000,28757.239999999998
ITDemand,R&D-04,700001,39999.42
ITDemand,R&D-04,700002,43670.07
ITDemand,R&D-04,700003,30561.399999999998
ITDemand,Sales-01,700000,51334.990000000005
ITDemand,Sales-01,700001,32611.26
ITDemand,Sales-01,700002,34906.14000000001
ITDemand,Sales-01,700003,37835.7
ITDemand,Sales-04,700000,35351.590000000004
ITDemand,Sales-04,700001,43581.88
ITDemand,Sales-04,700002,46432.04
ITDemand,Sales-04,700003,36569.58
ITDemand,Sales-05,700000,28089.93
