client,BPA,cost
AirMexico,implementation.csv,467920.54564516124
Alitalia,implementation.csv,434094.964032258
American,implementation.csv,388994.188548387
SwissAir,implementation.csv,383356.59161290317
AirChina,implementation.csv,603222.8720967742
EmiratesAirlines,implementation.csv,558122.0966129032
AirFrance,implementation.csv,513021.32112903224
TACA,implementation.csv,473558.1425806451
VirginAtlantic,implementation.csv,400269.38241935475
BA,implementation.csv,467920.54564516124
AirJapan,implementation.csv,552484.4996774193
AirMexico,sales.csv,884351.6515719023
Alitalia,sales.csv,304971.40698477294
American,sales.csv,51518.73809843069
SwissAir,sales.csv,218841.8075820992
AirChina,sales.csv,583450.2392009525
EmiratesAirlines,sales.csv,1076880.1782158783
AirFrance,sales.csv,352565.90377585636
TACA,sales.csv,11930.068439015626
VirginAtlantic,sales.csv,1138673.6612456
BA,sales.csv,187767.74520876785
AirJapan,sales.csv,413470.06967672595
AirMexico,ITDemand.csv,958599.2892857143
Alitalia,ITDemand.csv,1917198.5785714285
American,ITDemand.csv,2875797.867857143
SwissAir,ITDemand.csv,958599.2892857143
AirChina,ITDemand.csv,958599.2892857143
EmiratesAirlines,ITDemand.csv,479299.64464285714
AirFrance,ITDemand.csv,1917198.5785714285
TACA,ITDemand.csv,479299.64464285714
VirginAtlantic,ITDemand.csv,958599.2892857143
AirJapan,ITDemand.csv,958599.2892857143
BA,ITDemand.csv,958599.2892857143
AirMexico,payroll.csv,565047.4697872339
Alitalia,payroll.csv,565047.4697872339
American,payroll.csv,565047.4697872339
SwissAir,payroll.csv,1130094.9395744677
AirChina,payroll.csv,565047.4697872339
EmiratesAirlines,payroll.csv,565047.4697872339
AirFrance,payroll.csv,565047.4697872339
TACA,payroll.csv,282523.73489361693
VirginAtlantic,payroll.csv,565047.4697872339
BA,payroll.csv,565047.4697872339
AirJapan,payroll.csv,706309.3372340425
AirMexico,phones.csv,181599.73108879064
Alitalia,phones.csv,558616.5641100842
American,phones.csv,807329.2392969062
SwissAir,phones.csv,459921.0580835675
AirChina,phones.csv,378990.74314182386
EmiratesAirlines,phones.csv,517164.45157894713
AirFrance,phones.csv,481634.0694094012
TACA,phones.csv,80930.31494174364
VirginAtlantic,phones.csv,477686.2491683405
AirJapan,phones.csv,438208.04675773386
BA,phones.csv,530981.8224226595
