Legal_Entity,Legal_Entity_Name,Function,CostCenter,CostCenter_Name,Account,Account_Name,Amount
EUR,Europe,Sales,Sales-01,Sales-Direct,100000,Salary,24513.39
EUR,Europe,Sales,Sales-01,Sales-Direct,100001,Benefits,6373.48
EUR,Europe,Sales,Sales-01,Sales-Direct,200000,Contractors,34200.09
EUR,Europe,Sales,Sales-01,Sales-Direct,400000,Travel-Trips,980.56
EUR,Europe,Sales,Sales-01,Sales-Direct,400001,Travel-Hotels,627.67
EUR,Europe,Sales,Sales-01,Sales-Direct,500000,Professional-Services-Consultants,24967.36
EUR,Europe,Sales,Sales-01,Sales-Direct,600000,Legal-Consultants,27856.25
EUR,Europe,Sales,Sales-01,Sales-Direct,600001,Legal-Corporate Fees,40625.14
EUR,Europe,Sales,Sales-01,Sales-Direct,600002,Legal-Employment Fees,14575.01
EUR,Europe,Sales,Sales-01,Sales-Direct,700000,IT-Application-On-Premise,5056.55
EUR,Europe,Sales,Sales-01,Sales-Direct,700001,IT-Application-Subscription,2849.79
EUR,Europe,Sales,Sales-01,Sales-Direct,700002,IT-Infrastructure,1520.27
EUR,Europe,Sales,Sales-01,Sales-Direct,700003,IT-Consultant-System Implementation,8021.03
EUR,Europe,Sales,Sales-01,Sales-Direct,800000,Facilities-Offices,8905.99
EUR,Europe,Sales,Sales-01,Sales-Direct,800001,Facilities-Supplies,5003.49
EUR,Europe,Sales,Sales-01,Sales-Direct,800002,Facilities-Supplies,3514.21
EUR,Europe,Sales,Sales-02,Sales-Partners,100000,Salary,11511.03
EUR,Europe,Sales,Sales-02,Sales-Partners,100001,Benefits,2992.87
EUR,Europe,Sales,Sales-02,Sales-Partners,200000,Contractors,92679.17
EUR,Europe,Sales,Sales-02,Sales-Partners,400000,Travel-Trips,309.25
EUR,Europe,Sales,Sales-02,Sales-Partners,400001,Travel-Hotels,689.88
EUR,Europe,Sales,Sales-02,Sales-Partners,500000,Professional-Services-Consultants,10521.86
EUR,Europe,Sales,Sales-02,Sales-Partners,600000,Legal-Consultants,2697.82
EUR,Europe,Sales,Sales-02,Sales-Partners,600001,Legal-Corporate Fees,15493.35
EUR,Europe,Sales,Sales-02,Sales-Partners,600002,Legal-Employment Fees,30643.35
EUR,Europe,Sales,Sales-02,Sales-Partners,700000,IT-Application-On-Premise,8063.62
EUR,Europe,Sales,Sales-02,Sales-Partners,700001,IT-Application-Subscription,6822.53
EUR,Europe,Sales,Sales-02,Sales-Partners,700002,IT-Infrastructure,1844.42
EUR,Europe,Sales,Sales-02,Sales-Partners,700003,IT-Consultant-System Implementation,8579.75
EUR,Europe,Sales,Sales-02,Sales-Partners,800000,Facilities-Offices,2877.44
EUR,Europe,Sales,Sales-02,Sales-Partners,800001,Facilities-Supplies,9251.65
EUR,Europe,Sales,Sales-02,Sales-Partners,800002,Facilities-Supplies,6699.3
EUR,Europe,Sales,Sales-03,Sales-Online,100000,Salary,89364.4
EUR,Europe,Sales,Sales-03,Sales-Online,100001,Benefits,23234.74
EUR,Europe,Sales,Sales-03,Sales-Online,200000,Contractors,73933.51
EUR,Europe,Sales,Sales-03,Sales-Online,400000,Travel-Trips,767.11
EUR,Europe,Sales,Sales-03,Sales-Online,400001,Travel-Hotels,519.46
EUR,Europe,Sales,Sales-03,Sales-Online,500000,Professional-Services-Consultants,25524.33
EUR,Europe,Sales,Sales-03,Sales-Online,600000,Legal-Consultants,1968.75
EUR,Europe,Sales,Sales-03,Sales-Online,600001,Legal-Corporate Fees,22456.87
EUR,Europe,Sales,Sales-03,Sales-Online,600002,Legal-Employment Fees,38881.24
EUR,Europe,Sales,Sales-03,Sales-Online,700000,IT-Application-On-Premise,6441.41
EUR,Europe,Sales,Sales-03,Sales-Online,700001,IT-Application-Subscription,9500.52
EUR,Europe,Sales,Sales-03,Sales-Online,700002,IT-Infrastructure,3139.77
EUR,Europe,Sales,Sales-03,Sales-Online,700003,IT-Consultant-System Implementation,1007.56
EUR,Europe,Sales,Sales-03,Sales-Online,800000,Facilities-Offices,6881.19
EUR,Europe,Sales,Sales-03,Sales-Online,800001,Facilities-Supplies,464.34
EUR,Europe,Sales,Sales-03,Sales-Online,800002,Facilities-Supplies,3753.58
EUR,Europe,Sales,Sales-04,Sales-Ops,100000,Salary,49553.9
EUR,Europe,Sales,Sales-04,Sales-Ops,100001,Benefits,12884.01
EUR,Europe,Sales,Sales-04,Sales-Ops,200000,Contractors,26633.31
