client,BPA,cost
AirMexico,ITDemand,958599.2892857143
AirMexico,implementation,467920.54564516124
AirMexico,payroll,565047.4697872339
AirMexico,phones,181599.73108879064
AirMexico,sales,884351.6515719023
Alitalia,ITDemand,1917198.5785714285
Alitalia,implementation,434094.964032258
Alitalia,payroll,565047.4697872339
Alitalia,phones,558616.5641100842
Alitalia,sales,304971.40698477294
American,ITDemand,2875797.867857143
American,implementation,388994.188548387
American,payroll,565047.4697872339
American,phones,807329.2392969062
American,sales,51518.73809843069
SwissAir,ITDemand,958599.2892857143
SwissAir,implementation,383356.59161290317
SwissAir,payroll,1130094.9395744677
SwissAir,phones,459921.0580835675
SwissAir,sales,218841.8075820992
AirChina,ITDemand,958599.2892857143
AirChina,implementation,603222.8720967742
AirChina,payroll,565047.4697872339
AirChina,phones,378990.74314182386
AirChina,sales,583450.2392009525
EmiratesAirlines,ITDemand,479299.64464285714
EmiratesAirlines,implementation,558122.0966129032
EmiratesAirlines,payroll,565047.4697872339
EmiratesAirlines,phones,517164.45157894713
EmiratesAirlines,sales,1076880.1782158783
AirFrance,ITDemand,1917198.5785714285
AirFrance,implementation,513021.32112903224
AirFrance,payroll,565047.4697872339
AirFrance,phones,481634.0694094012
AirFrance,sales,352565.90377585636
TACA,ITDemand,479299.64464285714
TACA,implementation,473558.1425806451
TACA,payroll,282523.73489361693
TACA,phones,80930.31494174364
TACA,sales,11930.068439015626
VirginAtlantic,ITDemand,958599.2892857143
VirginAtlantic,implementation,400269.38241935475
VirginAtlantic,payroll,565047.4697872339
VirginAtlantic,phones,477686.2491683405
VirginAtlantic,sales,1138673.6612456
BA,ITDemand,958599.2892857143
BA,implementation,467920.54564516124
BA,payroll,565047.4697872339
BA,phones,530981.8224226595
BA,sales,187767.74520876785
AirJapan,ITDemand,958599.2892857143
AirJapan,implementation,552484.4996774193
AirJapan,payroll,706309.3372340425
AirJapan,phones,438208.04675773386
AirJapan,sales,413470.06967672595
