Department,Account,cost,BPA
Marketing,100000,7500.0,implementation.csv
Marketing,101000,3750.0,phones.csv
R&D,100000,2250.0,phones.csv
R&D,100000,5250.0,phones.csv
Sales,100000,15000.0,implementation.csv
Sales,101000,22500.0,implementation.csv
Marketing,100000,10000.0,implementation.csv
Marketing,101000,5000.0,phones.csv
R&D,100000,3000.0,phones.csv
R&D,100000,7000.0,phones.csv
Sales,100000,20000.0,implementation.csv
Sales,101000,30000.0,implementation.csv
Marketing,100000,5000.0,implementation.csv
Marketing,101000,2500.0,phones.csv
R&D,100000,1500.0,phones.csv
R&D,100000,3500.0,phones.csv
Sales,100000,10000.0,implementation.csv
Sales,101000,15000.0,implementation.csv
