client,BPA,cost
AirMexico,implementation.csv,713193.0816881721
Alitalia,implementation.csv,661636.9553010754
American,implementation.csv,592895.453451613
SwissAir,implementation.csv,584302.7657204302
AirChina,implementation.csv,919417.5872365593
EmiratesAirlines,implementation.csv,850676.0853870969
AirFrance,implementation.csv,781934.5835376346
TACA,implementation.csv,721785.7694193549
VirginAtlantic,implementation.csv,610080.8289139785
BA,implementation.csv,713193.0816881721
AirJapan,implementation.csv,842083.3976559141
AirMexico,sales.csv,3611590.1130344914
Alitalia,sales.csv,1264418.0366338815
American,sales.csv,368970.9448499531
SwissAir,sales.csv,993295.2327768739
AirChina,sales.csv,2350369.0153103396
EmiratesAirlines,sales.csv,4299473.411128727
AirFrance,sales.csv,1483109.8944578904
TACA,sales.csv,51096.49666762656
VirginAtlantic,sales.csv,4552771.032566853
BA,sales.csv,761129.741037981
AirJapan,sales.csv,1713922.7615353956
AirMexico,ITDemand.csv,285923.56999999983
Alitalia,ITDemand.csv,571847.1399999997
American,ITDemand.csv,857770.7099999995
SwissAir,ITDemand.csv,285923.56999999983
AirChina,ITDemand.csv,285923.56999999983
EmiratesAirlines,ITDemand.csv,142961.78499999992
AirFrance,ITDemand.csv,571847.1399999997
TACA,ITDemand.csv,142961.78499999992
VirginAtlantic,ITDemand.csv,285923.56999999983
AirJapan,ITDemand.csv,285923.56999999983
BA,ITDemand.csv,285923.56999999983
AirMexico,payroll.csv,220089.05910457985
Alitalia,payroll.csv,229748.04333056606
American,payroll.csv,191019.52830304956
SwissAir,payroll.csv,140471.87283287264
AirChina,payroll.csv,79740.62376980291
EmiratesAirlines,payroll.csv,9041.79673550784
AirFrance,payroll.csv,105631.63899536972
TACA,payroll.csv,145764.2555637245
VirginAtlantic,payroll.csv,134299.99792808914
BA,payroll.csv,185464.8408887444
AirJapan,payroll.csv,361517.57254769397
AirMexico,phones.csv,8286.523426328587
Alitalia,phones.csv,16820.026146249133
American,phones.csv,39500.288620531865
SwissAir,phones.csv,19562.567218046017
AirChina,phones.csv,15069.418172293117
EmiratesAirlines,phones.csv,18762.394466042802
AirFrance,phones.csv,18244.00567773123
TACA,phones.csv,3132.7549692606076
VirginAtlantic,phones.csv,18236.308491074567
AirJapan,phones.csv,17587.402189889188
BA,phones.csv,17879.56062255285
