Legal_Entity,Legal_Entity_Name,Function,CostCenter,CostCenter_Name,Account,Account_Name,Amount,Origin
EUR,Europe,Sales,Sales-01,Sales-Direct,100000,Salary,24513.39,JE
EUR,Europe,Sales,Sales-01,Sales-Direct,100001,Benefits,6373.48,IC
EUR,Europe,Sales,Sales-01,Sales-Direct,200000,Contractors,34200.09,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,400000,Travel-Trips,980.56,JE
EUR,Europe,Sales,Sales-01,Sales-Direct,400001,Travel-Hotels,627.67,IC
EUR,Europe,Sales,Sales-01,Sales-Direct,500000,Professional-Services-Consultants,24967.36,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,600000,Legal-Consultants,27856.25,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,600001,Legal-Corporate Fees,40625.14,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,600002,Legal-Employment Fees,14575.01,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,700000,IT-Application-On-Premise,5056.55,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,700001,IT-Application-Subscription,2849.79,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,700002,IT-Infrastructure,1520.27,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,700003,IT-Consultant-System Implementation,8021.03,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,800000,Facilities-Offices,8905.99,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,800001,Facilities-Supplies,5003.49,Auto
EUR,Europe,Sales,Sales-01,Sales-Direct,800002,Facilities-Supplies,3514.21,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,100000,Salary,11511.03,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,100001,Benefits,2992.87,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,200000,Contractors,92679.17,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,400000,Travel-Trips,309.25,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,400001,Travel-Hotels,689.88,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,500000,Professional-Services-Consultants,10521.86,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,600000,Legal-Consultants,2697.82,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,600001,Legal-Corporate Fees,15493.35,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,600002,Legal-Employment Fees,30643.35,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,700000,IT-Application-On-Premise,8063.62,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,700001,IT-Application-Subscription,6822.53,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,700002,IT-Infrastructure,1844.42,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,700003,IT-Consultant-System Implementation,8579.75,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,800000,Facilities-Offices,2877.44,Auto
