client,BPA,cost
AirMexico,implementation.csv,713193.0816881724
Alitalia,implementation.csv,661636.9553010756
American,implementation.csv,592895.4534516131
SwissAir,implementation.csv,584302.7657204304
AirChina,implementation.csv,919417.5872365595
EmiratesAirlines,implementation.csv,850676.0853870971
AirFrance,implementation.csv,781934.5835376348
TACA,implementation.csv,721785.7694193551
VirginAtlantic,implementation.csv,610080.8289139788
BA,implementation.csv,713193.0816881724
AirJapan,implementation.csv,842083.3976559143
AirMexico,sales.csv,3611590.113034491
Alitalia,sales.csv,1264418.0366338813
American,sales.csv,368970.94484995306
SwissAir,sales.csv,993295.2327768737
AirChina,sales.csv,2350369.0153103396
EmiratesAirlines,sales.csv,4299473.411128727
AirFrance,sales.csv,1483109.8944578902
TACA,sales.csv,51096.496667626554
VirginAtlantic,sales.csv,4552771.032566853
BA,sales.csv,761129.7410379809
AirJapan,sales.csv,1713922.7615353954
AirMexico,ITDemand.csv,285923.56999999995
Alitalia,ITDemand.csv,571847.1399999999
American,ITDemand.csv,857770.7099999998
SwissAir,ITDemand.csv,285923.56999999995
AirChina,ITDemand.csv,285923.56999999995
EmiratesAirlines,ITDemand.csv,142961.78499999997
AirFrance,ITDemand.csv,571847.1399999999
TACA,ITDemand.csv,142961.78499999997
VirginAtlantic,ITDemand.csv,285923.56999999995
AirJapan,ITDemand.csv,285923.56999999995
BA,ITDemand.csv,285923.56999999995
AirMexico,payroll.csv,220089.05910457973
Alitalia,payroll.csv,229748.04333056594
American,payroll.csv,191019.52830304945
SwissAir,payroll.csv,140471.87283287258
AirChina,payroll.csv,79740.62376980287
EmiratesAirlines,payroll.csv,9041.796735507834
AirFrance,payroll.csv,105631.63899536966
TACA,payroll.csv,145764.2555637244
VirginAtlantic,payroll.csv,134299.99792808905
BA,payroll.csv,185464.8408887443
AirJapan,payroll.csv,361517.57254769374
AirMexico,phones.csv,8286.52342632859
Alitalia,phones.csv,16820.026146249136
American,phones.csv,39500.28862053188
SwissAir,phones.csv,19562.567218046024
AirChina,phones.csv,15069.418172293123
EmiratesAirlines,phones.csv,18762.39446604281
AirFrance,phones.csv,18244.005677731235
TACA,phones.csv,3132.7549692606085
VirginAtlantic,phones.csv,18236.308491074575
AirJapan,phones.csv,17587.402189889195
BA,phones.csv,17879.560622552854
