client,BPA,cost
AirMexico,ITDemand,285923.56999999995
AirMexico,implementation,713193.0816881724
AirMexico,payroll,220089.05910457973
AirMexico,phones,8286.52342632859
AirMexico,sales,3611590.113034491
Alitalia,ITDemand,571847.1399999999
Alitalia,implementation,661636.9553010756
Alitalia,payroll,229748.04333056594
Alitalia,phones,16820.026146249136
Alitalia,sales,1264418.0366338813
American,ITDemand,857770.7099999998
American,implementation,592895.4534516131
American,payroll,191019.52830304945
American,phones,39500.28862053188
American,sales,368970.94484995306
SwissAir,ITDemand,285923.56999999995
SwissAir,implementation,584302.7657204304
SwissAir,payroll,140471.87283287258
SwissAir,phones,19562.567218046024
SwissAir,sales,993295.2327768737
AirChina,ITDemand,285923.56999999995
AirChina,implementation,919417.5872365595
AirChina,payroll,79740.62376980287
AirChina,phones,15069.418172293123
AirChina,sales,2350369.0153103396
EmiratesAirlines,ITDemand,142961.78499999997
EmiratesAirlines,implementation,850676.0853870971
EmiratesAirlines,payroll,9041.796735507834
EmiratesAirlines,phones,18762.39446604281
EmiratesAirlines,sales,4299473.411128727
AirFrance,ITDemand,571847.1399999999
AirFrance,implementation,781934.5835376348
AirFrance,payroll,105631.63899536966
AirFrance,phones,18244.005677731235
AirFrance,sales,1483109.8944578902
TACA,ITDemand,142961.78499999997
TACA,implementation,721785.7694193551
TACA,payroll,145764.2555637244
TACA,phones,3132.7549692606085
TACA,sales,51096.496667626554
VirginAtlantic,ITDemand,285923.56999999995
VirginAtlantic,implementation,610080.8289139788
VirginAtlantic,payroll,134299.99792808905
VirginAtlantic,phones,18236.308491074575
VirginAtlantic,sales,4552771.032566853
BA,ITDemand,285923.56999999995
BA,implementation,713193.0816881724
BA,payroll,185464.8408887443
BA,phones,17879.560622552854
BA,sales,761129.7410379809
AirJapan,ITDemand,285923.56999999995
AirJapan,implementation,842083.3976559143
AirJapan,payroll,361517.57254769374
AirJapan,phones,17587.402189889195
AirJapan,sales,1713922.7615353954
