CostCenter,Account,cost,BPA
Sales-01,100000,24513.39,implementation.csv
Sales-01,100001,6373.48,implementation.csv
Sales-01,200000,34200.09,implementation.csv
Sales-01,400000,980.56,implementation.csv
Sales-01,400001,627.67,implementation.csv
Sales-01,500000,24967.36,ITDemand.csv
Sales-01,600000,27856.25,implementation.csv
Sales-01,600001,40625.14,implementation.csv
Sales-01,600002,14575.01,implementation.csv
Sales-01,700000,5056.55,implementation.csv
Sales-01,700001,2849.79,implementation.csv
Sales-01,700002,1520.27,implementation.csv
Sales-01,700003,8021.03,implementation.csv
Sales-01,800000,8905.99,implementation.csv
Sales-01,800001,5003.49,implementation.csv
Sales-01,800002,3514.21,implementation.csv
Sales-02,100000,11511.03,implementation.csv
Sales-02,100001,2992.87,implementation.csv
Sales-02,200000,92679.17,implementation.csv
Sales-02,400000,309.25,implementation.csv
Sales-02,400001,689.88,phones.csv
Sales-02,500000,10521.86,phones.csv
Sales-02,600000,2697.82,phones.csv
Sales-02,600001,15493.35,phones.csv
Sales-02,600002,30643.35,phones.csv
Sales-02,700000,8063.62,phones.csv
Sales-02,700001,6822.53,phones.csv
Sales-02,700002,1844.42,phones.csv
Sales-02,700003,8579.75,phones.csv
Sales-02,800000,2877.44,phones.csv
Sales-02,800001,9251.65,ITDemand.csv
Sales-02,800002,6699.3,phones.csv
Sales-03,100000,89364.4,phones.csv
Sales-03,100001,23234.74,phones.csv
Sales-03,200000,73933.51,phones.csv
Sales-03,400000,767.11,phones.csv
Sales-03,400001,519.46,phones.csv
Sales-03,500000,25524.33,phones.csv
Sales-03,600000,1968.75,phones.csv
Sales-03,600001,22456.87,phones.csv
Sales-03,600002,38881.24,phones.csv
Sales-03,700000,6441.41,phones.csv
Sales-03,700001,9500.52,sales.csv
Sales-03,700002,3139.77,sales.csv
Sales-03,700003,1007.56,sales.csv
Sales-03,800000,6881.19,sales.csv
Sales-03,800001,464.34,sales.csv
Sales-03,800002,3753.58,sales.csv
Sales-04,100000,49553.9,sales.csv
Sales-04,100001,12884.01,sales.csv
Sales-04,200000,26633.31,sales.csv
Sales-04,400000,651.79,phones.csv
Sales-04,400001,910.93,phones.csv
Sales-04,500000,16905.68,phones.csv
Sales-04,600000,26820.82,phones.csv
Sales-04,600001,13558.68,phones.csv
Sales-04,600002,28137.73,phones.csv
Sales-04,700000,9908.93,phones.csv
Sales-04,700001,2399.52,phones.csv
Sales-04,700002,1942.54,phones.csv
Sales-04,700003,2105.35,phones.csv
Sales-04,800000,958.85,phones.csv
Sales-04,800001,1665.89,phones.csv
Sales-04,800002,9455.95,phones.csv
Sales-05,100000,26660.98,phones.csv
Sales-05,100001,6931.85,phones.csv
Sales-05,200000,71187.79,phones.csv
Sales-05,400000,84.26,phones.csv
Sales-05,400001,516.86,phones.csv
Sales-05,500000,3607.79,phones.csv
Sales-05,600000,20100.63,phones.csv
Sales-05,600001,29670.83,phones.csv
Sales-05,600002,23211.49,phones.csv
Sales-05,700000,506.02,phones.csv
Sales-05,700001,4750.97,phones.csv
Sales-05,700002,1522.83,phones.csv
Sales-05,700003,6908,phones.csv
Sales-05,800000,6095.73,phones.csv
Sales-05,800001,6012.85,phones.csv
Sales-05,800002,3535.07,phones.csv
Marketing-01,100000,66887.37,phones.csv
Marketing-01,100001,17390.72,phones.csv
Marketing-01,200000,49055.81,phones.csv
Marketing-01,400000,845.77,phones.csv
Marketing-01,400001,461.83,phones.csv
Marketing-01,500000,11253.06,phones.csv
Marketing-01,600000,7440.4,phones.csv
Marketing-01,600001,33092.83,phones.csv
Marketing-01,600002,13690.66,phones.csv
Marketing-01,700000,3916.33,phones.csv
Marketing-01,700001,413.72,phones.csv
Marketing-01,700002,9456.19,phones.csv
Marketing-01,700003,5175.16,ITDemand.csv
Marketing-01,800000,9448.98,phones.csv
Marketing-01,800001,6620.53,phones.csv
Marketing-01,800002,3736.34,phones.csv
Marketing-02,100000,79037.68,phones.csv
Marketing-02,100001,20549.8,phones.csv
Marketing-02,200000,85016.9,phones.csv
Marketing-02,400000,517.05,phones.csv
Marketing-02,400001,949.02,ITDemand.csv
Marketing-02,500000,40520.32,phones.csv
Marketing-02,600000,3870,phones.csv
Marketing-02,600001,14260.03,phones.csv
Marketing-02,600002,5072.35,phones.csv
Marketing-02,700000,4484.09,phones.csv
Marketing-02,700001,9522.98,phones.csv
Marketing-02,700002,8975.81,phones.csv
