client,BPA,cost
AirMexico,ITDemand,14436.265714285713
AirMexico,implementation,190273.18667741932
AirMexico,payroll,0.0
AirMexico,phones,1382736.4982765329
AirMexico,sales,149416.97556082878
Alitalia,ITDemand,28872.531428571427
Alitalia,implementation,176518.4984838709
Alitalia,payroll,0.0
Alitalia,phones,2806685.3682556655
Alitalia,sales,52310.89712992342
American,ITDemand,43308.79714285714
American,implementation,158178.9142258064
American,payroll,0.0
American,phones,6591243.149633596
American,sales,15264.88912745975
SwissAir,ITDemand,14436.265714285713
SwissAir,implementation,155886.46619354835
SwissAir,payroll,0.0
SwissAir,phones,3264321.3927852153
SwissAir,sales,41094.134404917306
AirChina,ITDemand,14436.265714285713
AirChina,implementation,245291.93945161282
AirChina,payroll,0.0
AirChina,phones,2514568.9504015986
AirChina,sales,97238.34065557492
EmiratesAirlines,ITDemand,7218.132857142857
EmiratesAirlines,implementation,226952.3551935483
EmiratesAirlines,payroll,0.0
EmiratesAirlines,phones,3130800.0096674417
EmiratesAirlines,sales,177875.7537508296
AirFrance,ITDemand,28872.531428571427
AirFrance,implementation,208612.77093548383
AirFrance,payroll,0.0
AirFrance,phones,3044298.703749655
AirFrance,sales,61358.51187942423
TACA,ITDemand,7218.132857142857
TACA,implementation,192565.63470967737
TACA,payroll,0.0
TACA,phones,522749.3380867745
TACA,sales,2113.939775800304
VirginAtlantic,ITDemand,14436.265714285713
VirginAtlantic,implementation,162763.81029032252
VirginAtlantic,payroll,0.0
VirginAtlantic,phones,3043014.307341579
VirginAtlantic,sales,188355.06157024248
BA,ITDemand,14436.265714285713
BA,implementation,190273.18667741932
BA,payroll,0.0
BA,phones,2983485.3259933786
BA,sales,31489.094929362996
AirJapan,ITDemand,14436.265714285713
AirJapan,implementation,224659.90716129026
AirJapan,payroll,0.0
AirJapan,phones,2934734.105808595
AirJapan,sales,70907.59121563601
