Department,Account,cost,BPA
Sales,100000,20000,implementation.csv
Sales,101000,30000,payroll.csv
Marketing,100000,10000,phones.csv
Marketing,101000,5000,implementation.csv
R&D,100000,7000,payroll.csv
R&D,100000,3000,payroll.csv
Sales,100000,10000,implementation.csv
Sales,101000,15000,payroll.csv
Marketing,100000,5000,phones.csv
Marketing,101000,2500,implementation.csv
R&D,100000,3500,payroll.csv
R&D,100000,1500,payroll.csv
Sales,100000,15000,implementation.csv
Sales,101000,22500,payroll.csv
Marketing,100000,7500,phones.csv
Marketing,101000,3750,implementation.csv
R&D,100000,5250,payroll.csv
R&D,100000,2250,payroll.csv
