CostCenter_Name,Account_Name,BPA
Accounting,Salary,sales.csv
Accounting,Benefits,sales.csv
Accounting,Contractors,sales.csv
Accounting,Travel-Trips,sales.csv
Accounting,Travel-Hotels,sales.csv
Accounting,Professional-Services-Consultants,sales.csv
Accounting,Legal-Consultants,sales.csv
Accounting,Legal-Corporate Fees,sales.csv
Accounting,Legal-Employment Fees,sales.csv
Accounting,IT-Application-On-Premise,ITDemand.csv
Accounting,IT-Application-Subscription,ITDemand.csv
Accounting,IT-Infrastructure,ITDemand.csv
Accounting,IT-Consultant-System Implementation,ITDemand.csv
Accounting,Facilities-Offices,sales.csv
Accounting,Facilities-Supplies,sales.csv
Exec-Office,Salary,sales.csv
Exec-Office,Benefits,sales.csv
Exec-Office,Contractors,sales.csv
Exec-Office,Travel-Trips,sales.csv
Exec-Office,Travel-Hotels,sales.csv
Exec-Office,Professional-Services-Consultants,sales.csv
Exec-Office,Legal-Consultants,sales.csv
Exec-Office,Legal-Corporate Fees,sales.csv
Exec-Office,Legal-Employment Fees,sales.csv
Exec-Office,IT-Application-On-Premise,sales.csv
Exec-Office,IT-Application-Subscription,sales.csv
Exec-Office,IT-Infrastructure,sales.csv
Exec-Office,IT-Consultant-System Implementation,sales.csv
Exec-Office,Facilities-Offices,sales.csv
Exec-Office,Facilities-Supplies,sales.csv
Finance,Salary,sales.csv
Finance,Benefits,sales.csv
Finance,Contractors,sales.csv
Finance,Travel-Trips,sales.csv
Finance,Travel-Hotels,sales.csv
Finance,Professional-Services-Consultants,sales.csv
Finance,Legal-Consultants,sales.csv
Finance,Legal-Corporate Fees,sales.csv
Finance,Legal-Employment Fees,sales.csv
Finance,IT-Application-On-Premise,ITDemand.csv
Finance,IT-Application-Subscription,ITDemand.csv
Finance,IT-Infrastructure,ITDemand.csv
Finance,IT-Consultant-System Implementation,ITDemand.csv
Finance,Facilities-Offices,sales.csv
Finance,Facilities-Supplies,sales.csv
IS,Salary,payroll.csv
IS,Benefits,payroll.csv
IS,Contractors,payroll.csv
IS,Travel-Trips,payroll.csv
IS,Travel-Hotels,payroll.csv
IS,Professional-Services-Consultants,payroll.csv
IS,Legal-Consultants,payroll.csv
IS,Legal-Corporate Fees,payroll.csv
IS,Legal-Employment Fees,payroll.csv
IS,IT-Application-On-Premise,payroll.csv
IS,IT-Application-Subscription,payroll.csv
IS,IT-Infrastructure,payroll.csv
IS,IT-Consultant-System Implementation,payroll.csv
IS,Facilities-Offices,payroll.csv
IS,Facilities-Supplies,payroll.csv
IT,Salary,ITDemand.csv
IT,Benefits,ITDemand.csv
IT,Contractors,ITDemand.csv
IT,Travel-Trips,ITDemand.csv
IT,Travel-Hotels,ITDemand.csv
IT,Professional-Services-Consultants,ITDemand.csv
IT,Legal-Consultants,ITDemand.csv
IT,Legal-Corporate Fees,ITDemand.csv
IT,Legal-Employment Fees,ITDemand.csv
IT,IT-Application-On-Premise,ITDemand.csv
IT,IT-Application-Subscription,ITDemand.csv
IT,IT-Infrastructure,ITDemand.csv
IT,IT-Consultant-System Implementation,ITDemand.csv
IT,Facilities-Offices,ITDemand.csv
IT,Facilities-Supplies,ITDemand.csv
Legal,Salary,sales.csv
Legal,Benefits,sales.csv
Legal,Contractors,sales.csv
Legal,Travel-Trips,sales.csv
Legal,Travel-Hotels,sales.csv
Legal,Professional-Services-Consultants,sales.csv
Legal,Legal-Consultants,sales.csv
Legal,Legal-Corporate Fees,sales.csv
Legal,Legal-Employment Fees,sales.csv
Legal,IT-Application-On-Premise,ITDemand.csv
Legal,IT-Application-Subscription,ITDemand.csv
Legal,IT-Infrastructure,ITDemand.csv
Legal,IT-Consultant-System Implementation,ITDemand.csv
Legal,Facilities-Offices,sales.csv
Legal,Facilities-Supplies,sales.csv
Marketing-Events,Salary,sales.csv
