CostCenter_Name,Account_Name,cost,BPA
Accounting,Salary,728.8,sales.csv
Accounting,Benefits,189.49,sales.csv
Accounting,Contractors,49099.24,sales.csv
Accounting,Travel-Trips,150.98,sales.csv
Accounting,Travel-Hotels,706.93,sales.csv
Accounting,Professional-Services-Consultants,9044.08,sales.csv
Accounting,Legal-Consultants,7878.27,sales.csv
Accounting,Legal-Corporate Fees,12628.14,sales.csv
Accounting,Legal-Employment Fees,15106.73,sales.csv
Accounting,IT-Application-On-Premise,7139.53,ITDemand.csv
Accounting,IT-Application-Subscription,385.26,ITDemand.csv
Accounting,IT-Infrastructure,8551.99,ITDemand.csv
Accounting,IT-Consultant-System Implementation,9784.77,ITDemand.csv
Accounting,Facilities-Offices,486.2,sales.csv
Accounting,Facilities-Supplies,8188.0,sales.csv
Accounting,Facilities-Supplies,6467.23,sales.csv
Exec-Office,Salary,76812.39,sales.csv
Exec-Office,Benefits,19971.22,sales.csv
Exec-Office,Contractors,74104.95,sales.csv
Exec-Office,Travel-Trips,761.28,sales.csv
Exec-Office,Travel-Hotels,122.61,sales.csv
Exec-Office,Professional-Services-Consultants,1360.69,sales.csv
Exec-Office,Legal-Consultants,5284.04,sales.csv
Exec-Office,Legal-Corporate Fees,42691.68,sales.csv
Exec-Office,Legal-Employment Fees,33872.87,sales.csv
Exec-Office,IT-Application-On-Premise,7909.45,sales.csv
Exec-Office,IT-Application-Subscription,5468.01,sales.csv
Exec-Office,IT-Infrastructure,4964.49,sales.csv
Exec-Office,IT-Consultant-System Implementation,2914.36,sales.csv
Exec-Office,Facilities-Offices,6056.19,sales.csv
Exec-Office,Facilities-Supplies,1667.45,sales.csv
Exec-Office,Facilities-Supplies,2216.16,sales.csv
Finance,Salary,69098.28,sales.csv
Finance,Benefits,17965.55,sales.csv
Finance,Contractors,76646.02,sales.csv
Finance,Travel-Trips,233.35,sales.csv
Finance,Travel-Hotels,575.68,sales.csv
Finance,Professional-Services-Consultants,19276.19,sales.csv
Finance,Legal-Consultants,14126.99,sales.csv
Finance,Legal-Corporate Fees,26192.84,sales.csv
Finance,Legal-Employment Fees,27560.81,sales.csv
Finance,IT-Application-On-Premise,2487.59,ITDemand.csv
Finance,IT-Application-Subscription,5371.7,ITDemand.csv
Finance,IT-Infrastructure,9719.29,ITDemand.csv
Finance,IT-Consultant-System Implementation,6542.27,ITDemand.csv
Finance,Facilities-Offices,8722.97,sales.csv
Finance,Facilities-Supplies,8344.83,sales.csv
Finance,Facilities-Supplies,8568.61,sales.csv
IS,Salary,77265.53,payroll.csv
IS,Benefits,20089.04,payroll.csv
IS,Contractors,60258.64,payroll.csv
IS,Travel-Trips,142.54,payroll.csv
IS,Travel-Hotels,958.99,payroll.csv
IS,Professional-Services-Consultants,28416.04,payroll.csv
IS,Legal-Consultants,33170.6,payroll.csv
IS,Legal-Corporate Fees,30976.45,payroll.csv
IS,Legal-Employment Fees,31491.75,payroll.csv
IS,IT-Application-On-Premise,1779.34,payroll.csv
IS,IT-Application-Subscription,4326.76,payroll.csv
IS,IT-Infrastructure,7897.4,payroll.csv
IS,IT-Consultant-System Implementation,3703.01,payroll.csv
IS,Facilities-Offices,3114.45,payroll.csv
IS,Facilities-Supplies,1873.72,payroll.csv
IS,Facilities-Supplies,7450.96,payroll.csv
IT,Salary,56799.2,ITDemand.csv
IT,Benefits,14767.79,ITDemand.csv
IT,Contractors,74320.57,ITDemand.csv
IT,Travel-Trips,798.23,ITDemand.csv
IT,Travel-Hotels,734.64,ITDemand.csv
IT,Professional-Services-Consultants,24119.33,ITDemand.csv
IT,Legal-Consultants,37721.64,ITDemand.csv
IT,Legal-Corporate Fees,12279.56,ITDemand.csv
IT,Legal-Employment Fees,38787.13,ITDemand.csv
IT,IT-Application-On-Premise,9952.73,ITDemand.csv
IT,IT-Application-Subscription,8458.67,ITDemand.csv
IT,IT-Infrastructure,9841.48,ITDemand.csv
IT,IT-Consultant-System Implementation,6257.28,ITDemand.csv
IT,Facilities-Offices,2966.36,ITDemand.csv
IT,Facilities-Supplies,8877.31,ITDemand.csv
IT,Facilities-Supplies,6001.12,ITDemand.csv
Legal,Salary,3200.92,sales.csv
Legal,Benefits,832.24,sales.csv
Legal,Contractors,22006.67,sales.csv
Legal,Travel-Trips,777.45,sales.csv
Legal,Travel-Hotels,599.48,sales.csv
Legal,Professional-Services-Consultants,36119.75,sales.csv
Legal,Legal-Consultants,24932.2,sales.csv
Legal,Legal-Corporate Fees,30527.82,sales.csv
Legal,Legal-Employment Fees,36791.48,sales.csv
Legal,IT-Application-On-Premise,8133.79,ITDemand.csv
Legal,IT-Application-Subscription,9167.77,ITDemand.csv
Legal,IT-Infrastructure,8228.52,ITDemand.csv
Legal,IT-Consultant-System Implementation,6785.52,ITDemand.csv
Legal,Facilities-Offices,3600.78,sales.csv
Legal,Facilities-Supplies,5586.42,sales.csv
Legal,Facilities-Supplies,8912.44,sales.csv
Marketing-Events,Salary,47775.15,sales.csv
Marketing-Events,Benefits,12421.54,sales.csv
Marketing-Events,Contractors,15402.11,sales.csv
Marketing-Events,Travel-Trips,482.47,sales.csv
Marketing-Events,Travel-Hotels,159.51,sales.csv
Marketing-Events,Professional-Services-Consultants,4459.76,sales.csv
Marketing-Events,Legal-Consultants,29546.97,sales.csv
Marketing-Events,Legal-Corporate Fees,38263.98,sales.csv
Marketing-Events,Legal-Employment Fees,20343.03,sales.csv
Marketing-Events,IT-Application-On-Premise,6678.0,ITDemand.csv
Marketing-Events,IT-Application-Subscription,5367.56,ITDemand.csv
Marketing-Events,IT-Infrastructure,4990.81,ITDemand.csv
Marketing-Events,IT-Consultant-System Implementation,707.81,ITDemand.csv
Marketing-Events,Facilities-Offices,5199.21,sales.csv
Marketing-Events,Facilities-Supplies,9806.15,sales.csv
Marketing-Events,Facilities-Supplies,6984.51,sales.csv
Marketing-Research,Salary,27829.09,sales.csv
Marketing-Research,Benefits,7235.56,sales.csv
Marketing-Research,Contractors,59984.68,sales.csv
Marketing-Research,Travel-Trips,549.69,sales.csv
Marketing-Research,Travel-Hotels,128.75,sales.csv
Marketing-Research,Professional-Services-Consultants,19778.48,sales.csv
Marketing-Research,Legal-Consultants,42473.4,sales.csv
Marketing-Research,Legal-Corporate Fees,28533.66,sales.csv
Marketing-Research,Legal-Employment Fees,24124.73,sales.csv
Marketing-Research,IT-Application-On-Premise,1198.36,ITDemand.csv
Marketing-Research,IT-Application-Subscription,9425.5,ITDemand.csv
Marketing-Research,IT-Infrastructure,2095.26,ITDemand.csv
Marketing-Research,IT-Consultant-System Implementation,8338.4,ITDemand.csv
Marketing-Research,Facilities-Offices,1804.5,sales.csv
Marketing-Research,Facilities-Supplies,780.5,sales.csv
Marketing-Research,Facilities-Supplies,1145.63,sales.csv
Marketing-PR,Salary,42749.23,sales.csv
Marketing-PR,Benefits,11114.8,sales.csv
Marketing-PR,Contractors,38274.99,sales.csv
Marketing-PR,Travel-Trips,482.97,sales.csv
Marketing-PR,Travel-Hotels,582.99,sales.csv
Marketing-PR,Professional-Services-Consultants,8904.36,sales.csv
Marketing-PR,Legal-Consultants,37754.91,sales.csv
Marketing-PR,Legal-Corporate Fees,17720.18,sales.csv
Marketing-PR,Legal-Employment Fees,42365.89,sales.csv
